"TEHC_ST","r.squared","adj.r.squared","sigma","statistic","p.value","df","logLik","AIC","BIC","deviance","df.residual","nobs","state"
44,0.00150634105328059,-0.000141338251911982,4.14132853823213,0.914219805112202,0.339378522011711,1,-1725.69109653841,3457.38219307682,3470.61271772271,10393.264849315,606,608,"RI"
45,0.00019065205148732,-1.239615077675e-05,4.43396596309979,0.938949714212823,0.332595687148594,1,-14324.9553974434,28655.9107948869,28675.4176426229,96806.1066933306,4924,4926,"SC"
46,0.0101869532936284,0.00858531405947571,3.09652790091927,6.36032951516542,0.0119201346363946,1,-1579.51477433817,3165.02954867634,3178.31870711046,5925.683755444,618,620,"SD"
47,0.00265578761129759,0.00247540341661701,3.94705193361447,14.7229507330229,0.000125909216372408,1,-15441.0401327551,30888.0802655102,30907.9346372401,86137.5016666065,5529,5531,"TN"
48,0.010051160372526,0.0100013841838883,4.51370792953775,201.927078942806,1.32617715941523e-45,1,-58198.2837492017,116402.567498403,116426.261415519,405189.346824844,19888,19890,"TX"
49,0.00358793257909934,0.00323880431441081,4.08212222006587,10.2768321616723,0.00136198135152322,1,-8068.78626726833,16143.5725345367,16161.444066507,47558.2620730115,2854,2856,"UT"
50,0.0260918648100339,0.023951407370056,3.42418849275187,12.1898545248827,0.000527389233492453,1,-1209.9577948839,2425.91558976781,2438.28963994049,5334.90540942193,455,457,"VT"
51,0.00554060284818525,0.00538097854687669,4.32994546850887,34.7102715737368,4.02591798160791e-09,1,-17975.1632147277,35956.3264294555,35976.5387872181,116802.704946423,6230,6232,"VA"
53,0.0103974981041417,0.0102719936650935,4.21571776361117,82.8456601454557,1.10691125882139e-19,1,-22538.1403589067,45082.2807178135,45103.1996311537,140134.398329235,7885,7887,"WA"
54,0.00143740966762864,0.000736663990202446,3.95121156724601,2.05125727340641,0.152299865963855,1,-3984.55434729074,7975.10869458147,7990.89868343391,22247.2038100227,1425,1427,"WV"
55,0.00167357432388028,0.00152279250456655,3.9894162949281,11.0993111205154,0.000868328330816298,1,-18560.5101138776,37127.0202277551,37147.4151389106,105376.143959829,6621,6623,"WI"
56,0.00615090929696673,0.00413089081992812,3.64152926010383,3.04497674990768,0.0816116250621211,1,-1338.40104322356,2682.80208644713,2695.40969299869,6524.28179327862,492,494,"WY"
61,0.0711870518201193,0.0645049442792568,4.43699369160445,10.6533831406926,0.00138307390688096,1,-409.149937334079,824.299874668157,833.146154339292,2736.48090968794,139,141,NA
