TEHC_ST,201701,201702,201703,201704,201705,201706,201707,201708,201709,201710,201711,201712,201801,201802,201803,201804,201805,201806,201807,201808,201809,201810,201811,201812,201901,201902,201903,201904,201905,201906,201907,201908,201909,201910,201911,201912,202001,202002,202003,202004,202005,202006,202007,202008,202009,202010,202011,202012,202101,202102,202103,202104,202105,202106,202107,202108,202109,202110,202111,202112,202201,202202,202203,202204,202205,202206,202207,202208,202209,202210,202211,202212
FL,133712.1562,134759.3205,135818.4453,136833.8405,137805.6128,138739.6037,139700.678,140534.7981,141283.4021,141999.0369,142908.2016,143892.4471,144993.9428,146050.9364,147411.3049,148669.7128,149953.0001,150863.8835,151959.8173,152766.9323,153542.1676,153801.2824,154309.4928,155039.7101,156242.4584,157655.655,159142.9277,160477.54,161546.8224,162368.1798,162822.9361,163053.8191,163162.1684,163699.8585,164564.2827,165454.3237,166508.9391,167863.3901,169491.7325,170954.5495,171703.1879,171985.533,172246.0743,173155.1424,175119.7893,177566.003,180383.1778,182979.7653,185741.3129,188811.2682,192078.0403,195370.4845,198702.7227,202134.4394,204724.1362,205885.1653,205768.2476,205575.2853,205971.0748,206863.3728,209175.6239,212763.3253,217298.7012,221613.2604,224831.2481,227218.3254,227811.3252,227187.3225,225735.3462,224792.1992,224144.9569,223640.9281
GA,298587.907,299683.6255,300558.8651,301909.7116,303441.129,305071.1817,306306.7254,307245.0889,308139.4775,309242.9461,310560.7741,311787.2931,312932.5018,313989.1014,315448.238,316864.508,318362.4044,319643.8998,321248.7851,322625.3132,323656.3749,324173.5817,324916.1122,325814.1267,326932.1277,328242.5697,329957.6694,331931.7678,333473.1906,334605.6814,335213.328,335744.3024,336054.0896,336771.1935,338103.7582,339838.0902,342076.3838,344294.6846,347048.8376,349693.3095,351672.749,352489.7014,352630.1165,353632.1788,356608.4092,361167.4946,366766.1667,372704.2162,378248.5076,383886.8832,389095.9474,394421.3098,399635.5036,404750.9596,409416.184,412660.221,414706.7111,416487.2406,419045.0881,422173.4141,426023.685,430439.4019,436033.6517,441926.6183,447965.7306,453044.009,455908.1352,456114.4441,454679.4256,453736.0227,453425.8471,453124.844
HI,246564.5077,247599.8267,248511.0661,249442.3718,250197.4219,250921.9578,251487.2027,252071.6677,252733.9711,253647.6507,254626.655,255659.7262,256578.8892,257521.3709,258659.7108,259621.797,260500.6287,260934.3666,261728.3011,262553.0808,263546.9182,264166.3419,264757.1071,265305.7494,266062.5119,267164.3049,268609.6742,270075.1302,271145.2889,271931.8184,272573.0551,273351.6693,274176.9275,275152.6955,276403.3128,277921.3022,279676.1767,281441.1316,283130.3991,284516.9531,285277.4155,285772.7925,286606.3281,288521.7232,291644.1563,295474.106,299594.0872,303518.4221,307197.9447,310938.7495,314776.2061,318851.7366,323167.0418,327410.694,330663.4398,332464.4645,333002.4296,333584.5143,334974.6743,337362.0433,341339.4826,345994.2705,351340.2911,356458.8862,361117.4614,365014.434,366983.8849,367240.7388,366160.3083,365432.4013,365252.3781,365086.2498
ID,328801.2711,332573.8984,336360.4858,340103.4876,343326.7208,346358.3094,349119.9585,351882.5014,354477.0017,356939.3366,359478.6027,362368.8222,365720.6549,369423.5399,373529.1626,377420.8317,381184.9805,384071.2754,387206.2671,389699.0107,391516.1766,392322.9919,392871.342,393639.2528,394496.2745,395777.3605,397747.9141,399905.8478,401843.3565,403382.9114,404750.2445,406186.2801,407542.0419,409493.7273,412086.6841,415357.8477,418973.5963,422965.8439,427459.2968,431947.52,434849.6349,436456.772,437851.9536,441268.4098,447236.9599,454730.1169,463102.5887,471143.0251,478989.5602,486970.2321,495469.8983,504926.37,514948.6304,524617.155,532835.2187,538141.8334,541542.6098,544013.1084,547441.984,552095.2791,560442.4656,572178.6269,586875.49,600819.452,611316.14,616524.8335,614982.6465,608610.8752,600108.9037,593832.3311,589584.6211,585703.7562
IL,221646.0382,223192.7998,224871.1746,226413.0904,227767.5365,229154.7701,230508.0642,231944.8982,233366.8073,234805.5988,236067.675,237318.9903,238754.9988,240403.4396,242116.0287,243619.9634,245267.5672,246950.9284,249001.1226,250911.0736,252719.7865,254198.3972,255556.2313,256761.7776,258067.2307,259620.8023,261114.8161,262385.0033,263336.5748,264328.3339,265345.2782,266580.3221,268029.1528,269744.473,271743.33,273830.9459,276356.1182,279144.8459,282324.4483,285212.6477,287234.4378,288606.7281,290100.2552,292661.1229,296634.3943,301332.8562,306567.4957,311809.7395,317100.8412,322655.2961,329115.8509,336619.4147,345190.6179,354383.6637,363426.5821,371573.475,378536.0357,384849.8397,390936.5546,396664.8446,402623.5693,409366.2229,417664.9091,426999.2452,436287.5985,444106.3356,448147.5039,447625.1369,443043.7155,437276.7653,431231.885,425000.4478
IN,377907.431,380087.3348,382444.8432,385152.867,387891.3316,390380.2615,392539.3021,394340.1938,396382.215,398288.4846,400336.7504,402161.7876,404190.8125,406420.0526,409115.3166,411843.0307,414719.2622,417168.7851,419631.1171,421685.0002,423495.5402,424373.8964,424729.9927,424481.7425,424495.8715,425180.7853,426522.804,428468.6148,429897.5602,431168.2984,431738.4908,432063.8241,432109.43,432860.9346,434423.025,436223.0597,438542.9584,441173.3735,444414.6243,447232.6764,448969.3993,449831.9373,450795.4198,453469.9773,458481.5929,465109.888,472800.1591,480491.4319,487487.1031,494265.0178,500991.2879,508391.6034,515871.2386,522718.5722,527186.7179,528714.7597,528275.0836,528096.0275,529246.2479,531555.5445,536894.4056,545200.8532,556203.0994,566422.7263,575161.7667,581769.5912,584907.1844,583939.9264,579833.8748,576379.2649,574477.6263,573271.9216
IA,156518.4443,157354.4509,158044.2975,158924.6523,159897.4898,160815.9725,161696.1982,162687.3345,163892.6382,165202.1099,166566.3755,167810.9542,168975.4906,169997.1257,171202.6331,172262.3901,173328.2424,174169.1188,175268.2091,176398.4352,177479.3867,178219.5211,178896.1481,179797.9226,181221.939,183086.7198,185069.6561,186707.9325,188001.1312,189222.8975,190418.8249,191666.6027,192782.6942,194070.6315,195587.2752,197213.6319,199071.2432,200790.0493,202480.6511,203907.7653,204964.0054,205795.2357,206642.9115,208116.9772,210568.7572,213541.2529,216786.3904,219734.089,222676.5195,225810.4239,229114.5914,232708.4258,236820.1996,241895.973,247053.7947,251135.5221,253999.2466,256767.2258,260534.5,264932.9495,270457.8785,276804.3972,283304.7429,289481.3363,294478.4707,298948.7038,301572.1771,302536.2528,301979.3328,300971.189,299874.4588,298450.9764
KS,131714.8377,132144.0724,132555.9138,133208.1766,134025.0037,134837.41,135621.8105,136404.8055,137193.9692,137965.6805,138891.9336,139763.5863,140567.7087,141268.1512,142250.4851,143286.6904,144356.9298,145209.3435,146054.6322,146861.4941,147741.3243,148506.2042,149360.1694,150119.7205,151032.3193,151943.1238,153037.5857,153975.2632,154688.4393,155276.8833,155908.7628,156654.1374,157327.5426,158081.998,159011.0413,160090.4262,161322.2538,162600.069,164022.5978,165380.9387,166398.9456,167149.1787,167986.4159,169236.7875,171156.368,173503.5474,176357.8873,179117.7155,181664.8767,184214.2812,187106.5937,190214.6528,193376.786,196477.2674,199138.0625,200893.7754,201749.3506,202672.7227,204159.6222,206024.9783,208886.4482,212613.0821,216922.1921,220923.8029,224014.1241,226646.857,227922.1345,228172.3116,227521.5287,227070.7986,226993.5714,226923.0209
KY,278336.301,279705.2133,280827.6872,282031.7624,282951.8561,283561.8982,283859.881,284240.2219,285137.7703,286244.872,287399.7895,288549.9079,289600.4797,290490.0075,291506.0219,292370.6981,293385.6856,293974.5378,294911.3602,295754.94,296730.0546,297390.5597,297990.1766,298566.7235,299289.2726,300461.0964,302069.088,303786.099,304992.7757,305811.8707,306424.1106,307089.1059,307608.7072,308174.2251,309075.1261,310300.7025,311838.4013,313579.3356,315400.2626,317032.7087,317808.5549,318041.6261,318558.483,320164.8081,323217.0015,327041.0898,331359.095,335534.3269,339412.751,343654.9949,348321.699,353396.962,358355.9413,362749.7034,365884.0777,367469.1218,367773.7826,368309.3477,369517.2014,371583.7303,374521.8505,378093.2359,382501.6127,386961.6442,391159.8807,394178.2363,394886.2686,393469.0028,390939.9875,389344.0621,388506.5243,387960.7772
LA,137952.3723,138787.4702,139572.3644,140368.5816,140982.6215,141517.1642,141967.3228,142407.4257,142940.4533,143563.1551,144259.8704,144924.7799,145637.1691,146470.7877,147600.0352,148675.9999,149593.3313,150066.692,150474.5878,150955.5931,151699.1823,152375.6485,153135.1438,153744.1729,154575.5118,155529.7136,156690.5215,157708.9676,158431.1424,159038.8075,159480.3408,159863.3414,160041.9469,160565.5711,161363.5896,162398.9367,163394.4684,164525.7876,165832.4792,167085.6288,167975.2152,168515.5738,169390.614,170912.0194,173453.0667,176350.8916,179450.8265,182073.0185,184352.5859,186697.914,189457.6482,192678.3345,196049.6101,199318.7879,201815.8113,203308.6185,203929.8643,204711.2626,206112.5967,208084.2653,211029.4872,214763.8978,219138.3969,223279.9484,226642.698,229549.2777,231177.7756,231580.7021,230826.3343,230198.3936,229891.7578,229765.781
